sp_id;correct_name;family;genus;taxon_rank;habit;wood_dens_gcm3;max_height_m;seed_size_g;disp_mode;eco_group;obs
Campomanesia sp.;Campomanesia sp.;Myrtaceae;Campomanesia;NA;NA;NA;NA;NA;zoochoric;NA;
Campomanesia sp.1;Campomanesia sp.;Myrtaceae;Campomanesia;NA;NA;NA;NA;NA;zoochoric;NA;
Campomanesia xanthocarpa;Campomanesia xanthocarpa;Myrtaceae;Campomanesia;species;tree;0.709766667;20;0.084615385;zoochoric;3;
Capsicum frutescens;Capsicum frutescens;Solanaceae;Capsicum;species;shrub;0.493;NA;0.005;zoochoric;NA;
Capsicum sp.;Capsicum sp.;Solanaceae;Capsicum;NA;NA;NA;NA;NA;zoochoric;NA;
Cardiospermum grandiflorum;Cardiospermum grandiflorum;Sapindaceae;Cardiospermum;species;NA;0.68228497;NA;0.0438576;zoochoric;NA;
Carica papaya;Carica papaya;Caricaceae;Carica;species;tree;0.3061875;8;0.023;zoochoric;1;
Carica sp.;Carica sp.;Caricaceae;Carica;NA;NA;NA;NA;NA;zoochoric;NA;
Carica sp.1;Carica sp.;Caricaceae;Carica;NA;NA;NA;NA;NA;zoochoric;NA;
Cariniana estrellensis;Cariniana estrellensis;Lecythidaceae;Cariniana;species;tree;0.595375;36;0.075702076;anemochoric;3;
Cariniana legalis;Cariniana legalis;Lecythidaceae;Cariniana;species;tree;0.495;40;0.035778428;anemochoric;3;
Cariniana sp.;Cariniana sp.;Lecythidaceae;Cariniana;NA;NA;NA;NA;NA;anemochoric;NA;
Cariniana sp.1;Cariniana sp.;Lecythidaceae;Cariniana;NA;NA;NA;NA;NA;anemochoric;NA;
Casearia arborea;Casearia arborea;Salicaceae;Casearia;species;tree;0.574909091;18;0.00165;zoochoric;2;
Casearia commersoniana;Casearia commersoniana;Salicaceae;Casearia;species;tree;0.631218333;20;0.069290281;zoochoric;3;
Casearia decandra;Casearia decandra;Salicaceae;Casearia;species;tree;0.62421;22;0.067344149;zoochoric;3;
Casearia gossypiosperma;Casearia gossypiosperma;Salicaceae;Casearia;species;tree;0.691;30;0.069290281;zoochoric;2;
Casearia javitensis;Casearia javitensis;Salicaceae;Casearia;species;tree;0.692333333;16;0.04;zoochoric;2;
